time,C1,C2,C3,Cmix,cO,Q_air
1380.0,279.9998306503833,279.9997763380336,279.9997982857865,279.9993384469903,0.15854830282695512,167.19815016692422
1390.0,279.9998714906965,279.99981717859555,279.99983912624253,279.9993792912183,0.15854670483655917,167.19815016692422
1400.0,279.9999118820278,279.9998575702172,279.99987951774256,279.9994196864454,0.15854540191153332,167.14630002500232
1410.0,279.99995758201703,279.99990327053473,279.9999252179218,279.9994653908397,0.15853069659594074,167.14630002500232
1420.0,280.00001260169154,279.999958290588,279.9999802378165,279.9995204158102,0.15851872415950682,166.80869053710626
1430.0,280.0001133324283,280.00005902179487,280.00008096882755,279.99962115611214,0.1584201382174327,166.80869053710626
1440.0,280.0002849623356,280.0002306524058,280.0002525991428,279.99979280228024,0.15833988286821749,167.7404153485039
1450.0,280.00040332346873,280.0003490144791,280.0003709608218,279.9999111749087,0.1585198129697136,167.7404153485039
1460.0,280.0003799395631,280.00032563140695,280.0003475774049,279.99988778930293,0.15866636981164872,166.4412004670989
1470.0,280.00039566684444,280.0003413592622,280.0003633050285,279.9999035183078,0.15844364952375525,166.4412004670989
1480.0,280.00058030921593,280.00052600233937,280.00054794781755,280.0000881781318,0.1582622070051426,168.06744731222267
1490.0,280.00070809857044,280.0006537926985,280.00067573776073,280.00021597990883,0.15854262167796518,168.06744731222267
1500.0,280.00061727443074,280.00056296936225,280.0005849140975,280.00012514781986,0.15877106811964703,166.7602116145939
1510.0,280.0005070278917,280.00045272313497,280.0004746677548,280.0000148912061,0.1586128457491012,166.7602116145939
1520.0,280.00052173825577,280.00046743363555,280.00048937821254,280.00002960298724,0.1584838387501133,167.47648961264713
1530.0,280.0005514343706,280.0004971299485,280.00051907445305,280.0000593019766,0.1585674194852474,167.47648961264713
1540.0,280.00051626844765,280.0004619641672,280.0004839086218,280.0000241328848,0.15863556858784017,167.5042083886559
1550.0,280.00042759372934,280.0003732894036,280.0003952338874,279.9999354499399,0.1586982951913668,167.5042083886559
1560.0,280.0002949046136,280.00024059997816,280.00026254460226,279.9998027483776,0.1587493254158419,168.6150408261641
1570.0,280.0000012473012,279.9999469419491,279.9999688868846,279.99950906353774,0.15908320661166805,168.6150408261641
1580.0,279.9994662025349,279.99941189559615,279.9994338412119,279.9989739684073,0.15935513852881328,167.2302155293884
1590.0,279.99890584155224,279.99885153197647,279.9988734787143,279.9984135540884,0.15921191264307102,167.2302155293884
1600.0,279.9984771689095,279.99842285609606,279.9984448042018,279.99798483999854,0.15909502585798457,166.87370483831359
1610.0,279.99819553619756,279.99814122000333,279.99816316952393,279.99770317937276,0.15890607477781127,166.87370483831359
1620.0,279.9980688134324,279.99801449413326,279.99803644493943,279.9975764431958,0.1587522596768975,165.1116537548039
1630.0,279.9982668103725,279.9982124886914,279.9982344404652,279.99777445711396,0.15816340585120156,165.1116537548039
1640.0,279.9989051390204,279.99885081655043,279.9988727686066,279.99841284439697,0.15768417617513283,168.15073939555882
1650.0,279.9995317713464,279.99947744995706,279.9994994015013,279.9990395354134,0.15809427147321542,168.15073939555882
1660.0,279.99982004904325,279.99976572957274,279.9997876802631,279.99932784087804,0.15842838824113523,165.98911286626722
1670.0,280.0000914796919,280.00003716228,280.00005911207415,279.99959929770074,0.15813123301782941,165.98911286626722
1680.0,280.00057843481846,280.000524119946,280.00054606865126,280.0000862992391,0.15788911179586856,168.09400156928376
1690.0,280.0009871222676,280.0009328105553,280.00095475791926,280.0004950262831,0.15824614298744125,168.09400156928376
1700.0,280.0011071037794,280.0010527951353,280.00107474121324,280.00061502058173,0.15853693842255714,165.86919299786717
1710.0,280.0012573165024,280.001203010458,280.0012249554609,280.0007652485378,0.15818793502500889,165.86919299786717
1720.0,280.00166740567744,280.00161310235626,280.0016350462373,280.00117537710577,0.15790362681011127,170.10740122451966
1730.0,280.0017887613917,280.0017344610185,280.00175640368667,280.0012967457831,0.15878774437322485,170.10740122451966
1740.0,280.00123315816296,280.00117885948407,280.00120080148264,280.00074109210203,0.15950789547323813,166.96428669764194
1750.0,280.0005151986721,280.0004608995849,280.00048284181184,280.0000230658417,0.15926659267391907,166.96428669764194
1760.0,280.0000100180081,279.99995571713583,279.999977660168,279.9995178374075,0.1590694613868191,167.0572097028762
1770.0,279.9996642236109,279.99960992033937,279.9996318644215,279.99917200969287,0.15893351111834092,167.0572097028762
1780.0,279.9994356388824,279.9993813330612,279.99940327823896,279.99894340242787,0.15882292224145306,166.8205437607726
1790.0,279.9993275127582,279.99927320454753,279.99929515073745,279.9988352650013,0.158670666172463,166.8205437607726
1800.0,279.9993394621889,279.99928515201856,279.99930709902657,279.9988472144835,0.15854676001343757,166.91867453399834
1810.0,279.99943376116124,279.99937944961187,279.99940139718166,279.9989415214487,0.158471806876318,166.91867453399834
1820.0,279.9995811506032,279.99952683828326,279.9995487861528,279.99908892412424,0.15841087179544536,167.49683730313282
1830.0,279.9997022837536,279.99964797118884,279.9996699191351,279.99921006838014,0.15851346895909393,167.49683730313282
1840.0,279.9997403927691,279.9996860802006,279.9997080281257,279.99924818093234,0.15859704799791655,166.74158715052752
1850.0,279.99980035885454,279.999746046366,279.9997679942384,279.99930815258733,0.15846626310754888,166.74158715052752
1860.0,279.9999574350355,279.99990312288173,279.9999250705972,279.9994652434761,0.1583597181948335,167.6175704180648
1870.0,280.00008823685874,280.0000339253574,280.0000558727842,279.9995960577845,0.1585035992405683,167.6175704180648
1880.0,280.00010418169757,280.0000498708694,280.0000718180034,279.99961200447285,0.15862082333939834,166.9434326036248
1890.0,280.00010799183104,280.0000536815145,280.000075628431,279.99961581521353,0.15853874988407804,166.9434326036248
1900.0,280.00017414930807,280.0001198394803,280.0001417861918,279.9996819790669,0.15847183691589375,167.4624263596225
1910.0,280.00022872093143,280.00017441165375,280.00019635813464,279.99973655605163,0.15855400072327228,167.4624263596225
1920.0,280.00021853250024,280.0001642236979,280.00018616998244,279.9997263669396,0.1586209498441827,167.21533519486593
1930.0,280.00018633435917,280.0001320258598,280.00015397202384,279.99969416597486,0.15861037481701074,167.21533519486593
1940.0,280.00016353630474,280.0001092279742,280.000131174074,279.99967136589737,0.15860171474309484,167.29993972235312
1950.0,280.00013851302185,280.0000842047685,280.00010615084216,279.9996463403411,0.15861693703409857,167.29993972235312
1960.0,280.000102930509,280.00004862224074,280.0000705683268,279.99961075452734,0.1586293385711045,166.6903307358844
1970.0,280.00012951782594,280.00007520951067,280.0000971556223,279.99963734425864,0.15847899027354903,166.6903307358844
1980.0,280.0002694058332,280.00021509769385,280.00023704373376,279.9997772453006,0.15835656757305624,167.99613100394922
1990.0,280.00034631686253,280.0002920091838,280.0003139550297,279.99985416374255,0.15860064999531054,167.99613100394922
2000.0,280.0002344066141,280.00018009923235,280.00020204495644,279.99974224331635,0.15879948226884974,166.86206004972124
2010.0,280.0001065085401,280.0000522010375,280.00007414681954,279.99961433330503,0.15866274765712843,166.86206004972124
2020.0,280.00008790871993,280.0000336009569,280.00005554685515,279.99959573160675,0.15855125527766847,166.90845102924177
2030.0,280.00014942788795,280.0000951199842,280.000117065945,279.9996572563887,0.15847278224059527,166.90845102924177
2040.0,280.0002680609332,280.000213753145,280.00023569905665,279.9997759004766,0.15840897212157648,167.7619575606273
2050.0,280.0003321063639,280.00027779892565,280.0002997446871,279.99983995205594,0.15858169324605625,167.7619575606273
2060.0,280.0002621492766,280.0002078420911,280.00022978774643,279.999769988644,0.15872237609509218,166.52340035924223
2070.0,280.00023067516815,280.00017636799555,280.00019831364807,279.99973851158927,0.15851084180217825,166.52340035924223
2080.0,280.0003614841525,280.00030717712593,280.000329122719,279.9998693327423,0.15833850138931044,167.98627350915567
2090.0,280.000449539224,280.0003952326466,280.00041717805084,279.99995739625336,0.15858332375622378,167.98627350915567
2100.0,280.0003477088786,280.0002934026149,280.0003153478891,279.99985555667274,0.1587827921392738,166.93138331618687
2110.0,280.0437335271967,280.04974022862774,281.3325248020332,280.47383383035464,0.15866741350995223,166.93138331618687
2120.0,280.15982579270104,280.1804146456496,282.4526881843779,280.92952055688596,0.15857331129082342,167.40284354125433
2130.0,280.32965030990505,280.3691984538195,283.40390327726067,281.366169796003,0.15862084938528695,167.40284354125433
2140.0,280.5384327026865,280.5986077115916,284.2208145408672,281.7845770226783,0.15865962759420751,775.2672337672899
2150.0,280.7177510304267,280.7985093173113,284.8734438881432,282.12855936250776,0.3202587099333922,775.2672337672899
2160.0,280.8458230671276,280.9460958394382,285.3699169738128,282.3859610092778,0.4607485122295573,763.3121128612548
2170.0,280.94959659729534,281.0677537530767,285.7604502238534,282.5913020796933,0.5846670598909621,763.3121128612548
2180.0,281.0393575136733,281.173514571369,286.07343380878166,282.76081995454473,0.6991003901399903,799.999432194678
