time,Q_applied,track_C1,track_C2,track_C3,move_Q_air,move1_Q_air,objective
1640.0,167.2312280239148,1.7549609765410423e-8,1.3096723705530167e-8,2.9103830456733704e-10,0.0,0.0,3.079185262322426e-8
1660.0,167.23122802173503,1.7404090613126755e-8,1.3475073501467705e-8,2.6193447411060333e-10,0.0,0.0,3.1228410080075264e-8
1680.0,167.23122802008606,1.7258571460843086e-8,1.2863893061876297e-8,2.6193447411060333e-10,0.0,0.0,3.0297087505459785e-8
1700.0,167.23122803513124,1.7113052308559418e-8,1.2863893061876297e-8,2.0372681319713593e-10,0.0,0.0,3.000604920089245e-8
1720.0,167.23122803595678,1.7578713595867157e-8,1.2922100722789764e-8,2.6193447411060333e-10,0.0,0.0,3.0529918149113655e-8
1740.0,167.23122803163196,1.720036379992962e-8,1.3242242857813835e-8,2.6193447411060333e-10,0.0,0.0,3.0762748792767525e-8
1760.0,167.2312280243438,1.705484464764595e-8,1.3096723705530167e-8,2.9103830456733704e-11,0.0,0.0,3.0064256861805916e-8
1780.0,167.23122803083135,1.7171259969472885e-8,1.3562384992837906e-8,1.4551915228366852e-10,0.0,0.0,3.041350282728672e-8
1800.0,167.23122804279538,1.7316779121756554e-8,1.3445969671010971e-8,1.4551915228366852e-10,0.0,0.0,3.087916411459446e-8
1820.0,167.23122803156238,1.7491402104496956e-8,1.3184035196900368e-8,1.4551915228366852e-10,0.0,0.0,3.064633347094059e-8
1840.0,167.23122802695883,1.7258571460843086e-8,1.3562384992837906e-8,2.6193447411060333e-10,0.0,0.0,3.0995579436421394e-8
1860.0,167.23122802389457,1.752050593495369e-8,1.2951204553246498e-8,2.9103830456733704e-11,0.0,0.0,3.0529918149113655e-8
1880.0,167.23122802179802,1.7549609765410423e-8,1.3445969671010971e-8,1.4551915228366852e-10,0.0,0.0,3.087916411459446e-8
1900.0,167.23122802029312,1.7113052308559418e-8,1.289299689233303e-8,2.6193447411060333e-10,0.0,0.0,3.0064256861805916e-8
1920.0,167.23122803523552,1.7549609765410423e-8,1.3445969671010971e-8,2.6193447411060333e-10,0.0,0.0,3.1228410080075264e-8
1940.0,167.23122803570664,1.752050593495369e-8,1.335865817964077e-8,2.6193447411060333e-10,0.0,0.0,3.0995579436421394e-8
1960.0,167.2312280312635,1.7083948478102684e-8,1.3154931366443634e-8,2.9103830456733704e-10,0.0,0.0,3.055902197957039e-8
1980.0,167.2312280236594,1.7113052308559418e-8,1.2747477740049362e-8,2.6193447411060333e-10,0.0,0.0,3.0064256861805916e-8
2000.0,167.2312280310511,1.752050593495369e-8,1.3475073501467705e-8,1.4551915228366852e-10,0.0,0.0,3.111199475824833e-8
2020.0,167.23122804426808,1.737498678267002e-8,1.3096723705530167e-8,1.4551915228366852e-10,0.0,0.0,3.041350282728672e-8
2040.0,167.2312280314652,1.7316779121756554e-8,1.3387762010097504e-8,1.7462298274040222e-10,0.0,0.0,3.090826794505119e-8
2060.0,167.23122802657556,1.7578713595867157e-8,1.3300450518727303e-8,1.4551915228366852e-10,0.0,0.0,3.087916411459446e-8
2080.0,167.2312280233294,1.7258571460843086e-8,1.3096723705530167e-8,2.6193447411060333e-10,0.0,0.0,3.0529918149113655e-8
2100.0,800.0000071559042,13.088412650715327,19.601382386870682,739.8583391012216,0.0,0.0,772.5481341389532
2120.0,800.0000069186541,15.445189521764405,22.808708585682325,799.9815836474299,0.0,0.0,838.235481754411
2140.0,800.0000066948314,17.50607335375389,25.614078671613242,846.234909204155,0.0,0.0,889.3550612291729
2160.0,800.0000064760749,19.467140050139278,28.267380847450113,881.9950300745259,0.0,0.0,929.7295509720279
2180.0,800.0000062596089,21.35825534214382,30.793170621589525,909.8090041938995,0.0,0.0,961.9604301576328
2200.0,800.0000060443095,23.162398945831228,33.16332351427991,931.6621098550677,0.0,0.0,987.9878323147714
2220.0,800.0000058297512,24.850573729432654,35.34329023928149,949.0164172080695,0.0,0.0,1009.2102811769
2240.0,800.0000056158559,26.396794609958306,37.307899320003344,962.9218798303918,0.0,0.0,1026.6265737601498
2260.0,2.764477308468875e-6,14.052862582640955,13.713516794639872,27.62689899429097,0.0,0.0,55.393278371630004
2280.0,2.2916188840559166e-6,14.572203679854283,14.08649932028493,16.230941414745757,0.0,0.0,44.88964441503049
2300.0,1.9697001679012518e-6,14.830982799030608,14.308738649328006,12.730413487297483,0.0,0.0,41.87013493559789
2320.0,1.7543723819476894e-6,14.61071625322802,14.140630159381544,11.926557550323196,0.0,0.0,40.677903962670825
2340.0,1.625793565988379e-6,13.650186540355207,13.277235461340751,11.441554205637658,0.0,0.0,38.36897620759555
2360.0,1.5833376453870202e-6,11.809771505882964,11.542890457378235,10.284714321052888,0.0,0.0,33.637376284605125
2380.0,1.6518246980535287e-6,9.182206947822124,9.008944529254222,8.246825854526833,0.0,0.0,26.43797733145766
2400.0,1.9125617372103138e-6,6.137429971306119,6.036286431743065,5.623961562348995,0.0,0.0,17.797677965427283
2420.0,2.647176221659217e-6,3.2724914704158437,3.2209775397204794,3.026004294544691,0.0,0.0,9.519473304884741
2440.0,5.605293648704702e-6,1.2491239880910143,1.2281505194550846,1.1537761126237456,0.0,0.0,3.63105061990791
2460.0,2.0145765668032453e-5,0.4215639730973635,0.41465433448320255,0.391689221985871,0.0,0.0,1.2279075297119562
2480.0,5.871372315600031e-5,0.04098088221508078,0.039571263652760535,0.035334959073225036,0.0,0.0,0.11588710537762381
2500.0,229.26883945981473,1.6627105651423335e-5,2.560263965278864e-6,3.220367943868041e-5,0.0,0.0,5.1391252782195807e-5
2520.0,375.12113347853756,6.1551108956336975e-6,8.825445547699928e-7,1.1665630154311657e-5,0.0,0.0,1.870316918939352e-5
2540.0,151.10189334149322,2.2540916688740253e-6,3.1790114007890224e-7,4.222150892019272e-6,0.0,0.0,6.793998181819916e-6
2560.0,88.44530414023531,8.11705831438303e-7,1.2450618669390678e-7,1.525913830846548e-6,0.0,0.0,2.461893018335104e-6
2580.0,158.32561760190364,2.869637683033943e-7,5.643232725560665e-8,5.498004611581564e-7,0.0,0.0,8.93458491191268e-7
2600.0,193.51805624214234,1.0064104571938515e-7,3.055902197957039e-8,1.9720755517482758e-7,0.0,0.0,3.2852403819561005e-7
2620.0,174.75989437705948,3.6612618714571e-8,2.0983861759305e-8,6.990740075707436e-8,0.0,0.0,1.2764940038323402e-7
2640.0,158.63855429868133,1.743319444358349e-8,1.6472768038511276e-8,2.468004822731018e-8,0.0,0.0,5.8673322200775146e-8
2660.0,163.13584279321765,1.3096723705530167e-8,1.469743438065052e-8,8.585629984736443e-9,0.0,0.0,3.65253072232008e-8
2680.0,169.66494555982715,1.2456439435482025e-8,1.382431946694851e-8,2.764863893389702e-9,0.0,0.0,2.930755726993084e-8
2700.0,169.1229345371419,1.335865817964077e-8,1.3387762010097504e-8,6.693881005048752e-10,0.0,0.0,2.7677742764353752e-8
2720.0,166.64421061383135,1.4115357771515846e-8,1.3329554349184036e-8,5.238689482212067e-10,0.0,0.0,2.7997884899377823e-8
2740.0,166.44757420353426,1.5104888007044792e-8,1.2689270079135895e-8,2.9103830456733704e-11,0.0,0.0,2.843444235622883e-8
2760.0,167.31825492470395,1.5978002920746803e-8,1.2863893061876297e-8,2.9103830456733704e-11,0.0,0.0,2.9365764930844307e-8
2780.0,167.5309598487392,1.5978002920746803e-8,1.2834789231419563e-8,8.731149137020111e-11,0.0,0.0,2.8492650017142296e-8
2800.0,167.24782060648675,1.6560079529881477e-8,1.280568540096283e-8,5.820766091346741e-11,0.0,0.0,2.939486876130104e-8
2820.0,167.12463325204087,1.6763806343078613e-8,1.257285475730896e-8,5.820766091346741e-11,0.0,0.0,2.939486876130104e-8
2840.0,167.2079824393703,1.6996636986732483e-8,1.2951204553246498e-8,-2.0372681319713593e-10,0.0,0.0,2.9598595574498177e-8
2860.0,167.2663332117527,1.673470251262188e-8,1.2922100722789764e-8,3.4924596548080444e-10,0.0,0.0,3.015156835317612e-8
2880.0,167.2453662664166,1.6792910173535347e-8,1.3154931366443634e-8,2.3283064365386963e-10,0.0,0.0,3.050081431865692e-8
2900.0,167.22071154845128,1.720036379992962e-8,1.31258275359869e-8,2.9103830456733704e-10,0.0,0.0,3.055902197957039e-8
2920.0,167.22437773038556,1.650187186896801e-8,1.3096723705530167e-8,2.9103830456733704e-11,0.0,0.0,2.9831426218152046e-8
2940.0,167.23395652721624,1.6210833564400673e-8,1.3067619875073433e-8,2.9103830456733704e-11,0.0,0.0,2.9365764930844307e-8
2960.0,167.23416548140395,1.673470251262188e-8,1.2980308383703232e-8,1.4551915228366852e-10,0.0,0.0,2.994784153997898e-8
2980.0,167.2307073249796,1.7025740817189217e-8,1.3067619875073433e-8,8.731149137020111e-11,0.0,0.0,2.9889633879065514e-8
3000.0,167.23007324016965,1.6327248886227608e-8,1.3009412214159966e-8,2.9103830456733704e-11,0.0,0.0,2.9365764930844307e-8
3020.0,167.23123155734186,1.728767529129982e-8,1.2718373909592628e-8,2.9103830456733704e-11,0.0,0.0,3.0064256861805916e-8
3040.0,167.23164957280224,1.705484464764595e-8,1.3154931366443634e-8,3.2014213502407074e-10,0.0,0.0,3.058812581002712e-8
3060.0,167.23129475897719,1.6909325495362282e-8,1.3154931366443634e-8,2.9103830456733704e-11,0.0,0.0,2.9831426218152046e-8
3080.0,167.23108513245376,1.6909325495362282e-8,1.2631062418222427e-8,2.6193447411060333e-10,0.0,0.0,2.9598595574498177e-8
3100.0,167.2311806547155,1.6705598682165146e-8,1.2427335605025291e-8,1.1641532182693481e-10,0.0,0.0,2.898741513490677e-8
3120.0,167.23127248100172,1.6909325495362282e-8,1.3009412214159966e-8,2.3283064365386963e-10,0.0,0.0,3.003515303134918e-8
3140.0,167.23125247349066,1.673470251262188e-8,1.2922100722789764e-8,2.9103830456733704e-10,0.0,0.0,3.009336069226265e-8
3160.0,167.2312157713004,1.6909325495362282e-8,1.335865817964077e-8,1.1641532182693481e-10,0.0,0.0,3.0384398996829987e-8
3180.0,167.23121714368355,1.6792910173535347e-8,1.2660166248679161e-8,3.2014213502407074e-10,0.0,0.0,2.9656803235411644e-8
3200.0,167.23123074395815,1.714215613901615e-8,1.31258275359869e-8,3.2014213502407074e-10,0.0,0.0,3.012246452271938e-8
3220.0,167.23123243787109,1.6938429325819016e-8,1.30385160446167e-8,3.2014213502407074e-10,0.0,0.0,3.012246452271938e-8
3240.0,167.231227753191,1.673470251262188e-8,1.2980308383703232e-8,3.4924596548080444e-10,0.0,0.0,3.015156835317612e-8
3260.0,167.2312263800216,1.6705598682165146e-8,1.3445969671010971e-8,2.9103830456733704e-11,0.0,0.0,2.9831426218152046e-8
3280.0,167.23122786614815,1.6880221664905548e-8,1.2747477740049362e-8,2.9103830456733704e-11,0.0,0.0,2.9365764930844307e-8
3300.0,167.2312286065476,1.6909325495362282e-8,1.3009412214159966e-8,2.9103830456733704e-11,0.0,0.0,2.9831426218152046e-8
3320.0,167.23122818416144,1.7258571460843086e-8,1.2922100722789764e-8,2.6193447411060333e-10,0.0,0.0,3.0529918149113655e-8
3340.0,167.2312278461922,1.6792910173535347e-8,1.2980308383703232e-8,1.4551915228366852e-10,0.0,0.0,2.994784153997898e-8
3360.0,167.23122794549275,1.7345882952213287e-8,1.3533281162381172e-8,4.94765117764473e-10,0.0,0.0,3.1228410080075264e-8
3380.0,167.2312280848637,1.6792910173535347e-8,1.2980308383703232e-8,1.4551915228366852e-10,0.0,0.0,2.994784153997898e-8
3400.0,167.23122807096115,1.6560079529881477e-8,1.3154931366443634e-8,1.4551915228366852e-10,0.0,0.0,2.994784153997898e-8
3420.0,167.23122801810592,1.6851117834448814e-8,1.3096723705530167e-8,2.9103830456733704e-10,0.0,0.0,3.009336069226265e-8
3440.0,167.23122801461486,1.682201400399208e-8,1.3096723705530167e-8,1.4551915228366852e-10,0.0,0.0,2.994784153997898e-8
3460.0,167.23122802823067,1.728767529129982e-8,1.3096723705530167e-8,1.4551915228366852e-10,0.0,0.0,3.041350282728672e-8
3480.0,167.23122803767788,1.7316779121756554e-8,1.3445969671010971e-8,2.0372681319713593e-10,0.0,0.0,3.093737177550793e-8
3500.0,167.23122804680835,1.7345882952213287e-8,1.3533281162381172e-8,1.4551915228366852e-10,0.0,0.0,3.087916411459446e-8
3520.0,167.231228028942,1.7404090613126755e-8,1.3300450518727303e-8,1.4551915228366852e-10,0.0,0.0,3.087916411459446e-8
3540.0,167.23122802513473,1.7316779121756554e-8,1.3475073501467705e-8,2.9103830456733704e-11,0.0,0.0,3.0762748792767525e-8
3560.0,167.23122802549878,1.7549609765410423e-8,1.2980308383703232e-8,1.4551915228366852e-10,0.0,0.0,3.064633347094059e-8
3580.0,167.23122802862645,1.7491402104496956e-8,1.3096723705530167e-8,1.4551915228366852e-10,0.0,0.0,3.064633347094059e-8
3600.0,167.23122803317835,1.7113052308559418e-8,1.3329554349184036e-8,3.7834979593753815e-10,0.0,0.0,3.064633347094059e-8
3620.0,167.23122803865596,1.7316779121756554e-8,1.3445969671010971e-8,1.4551915228366852e-10,0.0,0.0,3.087916411459446e-8
3640.0,167.23122804422084,1.7113052308559418e-8,1.335865817964077e-8,1.4551915228366852e-10,0.0,0.0,3.041350282728672e-8
3660.0,167.23122802828874,1.7549609765410423e-8,1.3271346688270569e-8,3.2014213502407074e-10,0.0,0.0,3.105378709733486e-8
3680.0,167.23122802584828,1.7316779121756554e-8,1.2922100722789764e-8,2.6193447411060333e-10,0.0,0.0,3.0529918149113655e-8
3700.0,167.23122802807887,1.728767529129982e-8,1.3387762010097504e-8,1.4551915228366852e-10,0.0,0.0,3.087916411459446e-8
3720.0,167.23122803280523,1.705484464764595e-8,1.2863893061876297e-8,1.4551915228366852e-10,0.0,0.0,2.994784153997898e-8
3740.0,167.23122803900822,1.737498678267002e-8,1.2980308383703232e-8,2.3283064365386963e-10,0.0,0.0,3.050081431865692e-8
3760.0,167.2312280308806,1.7171259969472885e-8,1.2922100722789764e-8,1.4551915228366852e-10,0.0,0.0,3.041350282728672e-8
3780.0,167.2312280166849,1.737498678267002e-8,1.2980308383703232e-8,1.4551915228366852e-10,0.0,0.0,3.041350282728672e-8
3800.0,167.23122803083336,1.7549609765410423e-8,1.3329554349184036e-8,1.7462298274040222e-10,0.0,0.0,3.090826794505119e-8
3820.0,167.23122803654076,1.7258571460843086e-8,1.2863893061876297e-8,1.4551915228366852e-10,0.0,0.0,3.018067218363285e-8
3840.0,167.23122804015264,1.7345882952213287e-8,1.3096723705530167e-8,1.4551915228366852e-10,0.0,0.0,3.041350282728672e-8
3860.0,167.23122804250977,1.7258571460843086e-8,1.2863893061876297e-8,1.4551915228366852e-10,0.0,0.0,3.018067218363285e-8
3880.0,167.2312280275984,1.7549609765410423e-8,1.2922100722789764e-8,2.6193447411060333e-10,0.0,0.0,3.0529918149113655e-8
3900.0,167.23122802635226,1.7578713595867157e-8,1.2980308383703232e-8,2.9103830456733704e-11,0.0,0.0,3.0529918149113655e-8
3920.0,167.2312280299577,1.7404090613126755e-8,1.2689270079135895e-8,1.4551915228366852e-10,0.0,0.0,3.041350282728672e-8
3940.0,167.2312280363719,1.7549609765410423e-8,1.2980308383703232e-8,2.6193447411060333e-10,0.0,0.0,3.0762748792767525e-8
3960.0,167.23122804437395,1.7404090613126755e-8,1.2922100722789764e-8,1.4551915228366852e-10,0.0,0.0,3.041350282728672e-8
3980.0,167.2312280292557,1.7258571460843086e-8,1.3096723705530167e-8,2.6193447411060333e-10,0.0,0.0,3.0529918149113655e-8
4000.0,167.23122802603694,1.743319444358349e-8,1.3329554349184036e-8,1.4551915228366852e-10,0.0,0.0,3.087916411459446e-8
